period,cohort,family,comparison,candidate_model,reference_model,n_orders,paired_order_id_sha256,delta_log_loss,delta_brier,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_calibration_intercept,delta_calibration_slope,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,calibration_not_systematically_worse,calibration_systematically_worse,cohort_month
later,2018-03,xgboost,M5-M4,M5,M4,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.000557039621648,7.86158010544e-05,-0.00986368120207,0.00972453691418,-0.233200634206,2.97535109732,1.02680771406,500,500,5,-0.000929176407477,0.0016398260785,-7.22511629642e-05,0.00018763428398,,False,True,2018-03
later,2018-03,xgboost,M4E-M4,M4E,M4,7003,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,0.000912196644477,8.63205171618e-05,-0.0158124205259,-0.00780803832068,-0.391175257378,-2.82935087753,-0.993227732557,500,500,5,0.000329317625342,0.00155456204107,2.99794034163e-05,0.000148411586985,,False,True,2018-03
later,2018-04,logistic_l2,M1-M0,M1,M0,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.0115632126932,-0.00152468825131,0.10854207125,0.313694532033,3.16900230681,15.3405227064,6.05237870763,500,500,6,-0.0220301891606,-0.00285516266496,-0.00388601723266,0.000210138288592,,False,True,2018-04
later,2018-04,logistic_l2,M2-M1,M2,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.00263065193149,-0.000375082235592,0.0126511712456,0.0148614282435,0.0653402537486,-0.0782202683289,-0.0265512520018,500,500,6,-0.00466517734303,-0.000585700728378,-0.000932458957343,0.000129113785442,,True,False,2018-04
later,2018-04,logistic_l2,M3-M1,M3,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.0218975278413,0.00528276778415,-0.0354072949991,-0.0338944059858,-0.718742791234,-1.71949974913,-0.586637943394,500,500,6,0.0137737051943,0.0291433954687,0.00323358799433,0.00707500248175,,True,False,2018-04
later,2018-04,logistic_l2,M4-M1,M4,M1,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.017671761501,0.00443988051307,-0.0210730440275,-0.0106848448971,-0.196020761246,-1.58459977267,-0.516789892962,500,500,6,0.00817405538646,0.0247653274688,0.00195975398876,0.00637693573589,,True,False,2018-04
later,2018-04,logistic_l2,M4-M2,M4,M2,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.0203024134325,0.00481496274867,-0.0337242152731,-0.0255462731406,-0.261361014994,-1.50637950434,-0.490238640961,500,500,6,0.0130003748243,0.0273226869038,0.00290418210575,0.00655815406372,,False,True,2018-04
later,2018-04,logistic_l2,M4-M3,M4,M3,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,-0.00422576634025,-0.000842887271076,0.0143342509716,0.0232095610888,0.522722029988,0.134899976465,0.0698480504319,500,500,6,-0.00621640453624,-0.0020883430888,-0.00145153791224,-0.000233826340207,,False,True,2018-04
later,2018-04,logistic_l2,M5-M4,M5,M4,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.00177193308619,0.000650311439471,-0.00706002122205,-0.00578892472988,-0.196020761246,-0.158213726585,-0.0823830736132,500,500,6,0.00140116562856,0.00220591827471,0.000516206097749,0.000805402265706,,False,True,2018-04
later,2018-04,logistic_l2,M4E-M4,M4E,M4,6798,12138ebc6d34b03c6440d89e35b8db35a30d241f9f497044ef308120883e5a5b,0.000765643114761,0.000235441967462,-0.00144150763825,-0.000815986694534,0,-0.0396281859481,-0.0153797811328,500,500,6,0.000240984596167,0.00130492270372,4.69444639215e-05,0.000456202172764,,False,True,2018-04
