period,cohort,family,model_id,quantile,fitted_model_sha256,model_hash_type,constituent_fitted_model_count,n_train_breaches,unconditional_training_quantile,unconditional_reference_loss,q1_reference_loss,skill_vs_unconditional,skill_vs_q1,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,origin,cohort_month
terminal,2018-07_to_2018-08,xgboost_quantile,Q2,0.5,ced23ca05e8ae1c332c4248261d7085643b9d9e8df351452f1a146c6489f131b,fitted_model,,5654,7,2.3693843594,2.23274179941,0.0655316404077,0.00834269499591,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.21411471557,0.722129783694,0.222129783694,6.34617376328,6.50727313688,4,5.80532445923,6.70507405047,6.38820552826,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q3,0.5,2f8c55bb2344ee4f6d11d8ffbbd4deeb1c562362f0c686a182d4a9469b2ed67d,fitted_model,,5654,7,2.3693843594,2.23274179941,0.0651742295268,0.00796341076723,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.21496155932,0.718801996672,0.218801996672,6.29542636871,6.47885119379,4,5.80532445923,6.67927286046,6.30586719513,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q4,0.5,35568bdf463f3d1165a31409944d2cf800654a2fdee0b10a4432dc6ff564480f,fitted_model,,5654,7,2.3693843594,2.23274179941,0.0517409777039,-0.00629194861806,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.24679009609,0.722129783694,0.222129783694,6.42771434784,6.5933218645,4,5.80532445923,6.6678301046,6.25111103058,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q1,0.9,8641e1faaed2b5cba693cdbb2393a3a5ef1ae5772971d5ebe0e5c181dba6da45,fitted_model,,5654,22,2.06539101498,1.74822927788,0.153560141784,0,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,1.74822927788,0.956738768719,0.0567387687188,16.7228528322,17.6868696384,4,5.80532445923,12.9463434898,18.144539435,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q2,0.9,b50f071742979f60cdb00d660d74cdb4d270fa39840259d85db3fc3a849b2e7f,fitted_model,,5654,22,2.06539101498,1.74822927788,0.149728459541,-0.00452682161132,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,1.75614319995,0.96006655574,0.0600665557404,16.9301821777,17.7879495634,4,5.80532445923,13.970262267,18.1589412529,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q3,0.9,c826f222fa1b60f104363950f6db0e84dfc6b0545385c54b97712bb250d8d929,fitted_model,,5654,22,2.06539101498,1.74822927788,0.15331043385,-0.000295009658787,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,1.7487450224,0.95840266223,0.0584026622296,16.6168132244,17.6257265747,4,5.80532445923,13.623583653,18.0941339905,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,linear_quantile,Q4,0.9,72e2639aa69cb0be289dd8965903da7a889a1894f461da5104bfa9e2f2dff6d5,fitted_model,,5654,22,2.06539101498,1.74822927788,0.150769261415,-0.00329719866355,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,1.75399353711,0.95840266223,0.0584026622296,16.7329072277,17.6944924771,4,5.80532445923,13.5844447173,18.0377481835,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q1,0.9,ed27f1d07e5fb286254218122dbf22218fece9d223e8273be5a25c1df6e05a6a,fitted_model,,5654,22,2.06539101498,1.99518810707,0.0339901294215,0,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,1.99518810707,0.961730449251,0.0617304492512,19.8192443848,20.6707860547,4,5.80532445923,13.2910352375,22.3839836121,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q2,0.9,627fbd5cb12b764eb91488701324e2d80250d479298ba10088cd9c2453054b6a,fitted_model,,5654,22,2.06539101498,1.99518810707,0.0112237176609,-0.0235674732257,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.04220964936,0.963394342762,0.0633943427621,21.0688648224,21.5798419184,4,5.80532445923,12.6963409077,23.1257686615,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q3,0.9,abe61732990ce792fafedf89b613d57e4fcfbbfd3f4444080eb7e0c64c5fa8b7,fitted_model,,5654,22,2.06539101498,1.99518810707,-0.0323363964634,-0.0686602983106,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.13217831769,0.963394342762,0.0633943427621,21.7554264069,22.5452307322,4,5.80532445923,12.516854633,23.7901744843,2018-07-01,2018-07_to_2018-08
terminal,2018-07_to_2018-08,xgboost_quantile,Q4,0.9,8dfb2041b265e6b75fee9f18aee2b53bff2e47c1b0d2bde3ee66d0cc2dcdd0aa,fitted_model,,5654,22,2.06539101498,1.99518810707,0.0303680976469,-0.00374947698252,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,601,2.00266901895,0.963394342762,0.0633943427621,20.5787258148,21.1022366002,4,5.80532445923,12.9208936691,22.1068000793,2018-07-01,2018-07_to_2018-08
