period,cohort,family,model_id,probability_type,fitted_model_sha256,model_hash_type,constituent_fitted_model_count,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,origin,calibration_method,n_train,cohort_month
aggregate,later_pooled,xgboost,M5,raw,f6943f5f9169683b497358a0427b1e7a01dc9af8a9e4bfcab1dd5b0f8fac7349,composite_fitted_models,6,40270,3477,0.086342190216,0.306131074694,0.0803481977933,0.0723819471392,0.447747255415,0.402545997403,0.457290767903,0.0457290767903,-5.10054159994,-0.980899636144,0.0507753181767,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
aggregate,later_pooled,xgboost,M5,calibrated,f6943f5f9169683b497358a0427b1e7a01dc9af8a9e4bfcab1dd5b0f8fac7349,composite_fitted_models,6,40270,3477,0.086342190216,0.306131074694,0.0803481977933,0.0723819471392,0.447747255415,0.402545997403,0.457290767903,0.0457290767903,-5.10054159994,-0.980899636144,0.0507753181767,,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2,,,,later_pooled
terminal,2018-07_to_2018-08,logistic_l2,M0,raw,c9daccd999e6d1c6e1c31b8e4d3879e9a8f87252ee5f857c50a2a86f71e524ee,fitted_model,,12507,601,0.0480530902694,0.198633474128,0.0464584601625,0.141620803612,0.725074369304,3.95595466555,3.49333844073,0.349417637271,26.0995340962,12.1493106547,0.0495432374366,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M0,calibrated,c9daccd999e6d1c6e1c31b8e4d3879e9a8f87252ee5f857c50a2a86f71e524ee,fitted_model,,12507,601,0.0480530902694,0.198633474128,0.0464584601625,0.141620803612,0.725074369304,3.95595466555,3.49333844073,0.349417637271,26.0995340962,12.1493106547,0.0495432374366,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M1,raw,bc969ef29276e19cde55106bab63c8587b3a8425b6a9ae87ce53e816600b21a8,fitted_model,,12507,601,0.0480530902694,0.212730949174,0.0513085984842,0.0705401173884,0.596575001125,1.99459899103,1.71339933045,0.171381031614,-1.88326864659,0.48290770928,0.0529792817316,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M1,calibrated,bc969ef29276e19cde55106bab63c8587b3a8425b6a9ae87ce53e816600b21a8,fitted_model,,12507,601,0.0480530902694,0.212730949174,0.0513085984842,0.0705401173884,0.596575001125,1.99459899103,1.71339933045,0.171381031614,-1.88326864659,0.48290770928,0.0529792817316,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M2,raw,114df6cfc6c1ef1ecf6b98063243858b63cebe86c6edd4a68102d497cf62f008,fitted_model,,12507,601,0.0480530902694,0.206365625001,0.0499568602866,0.0767316721889,0.615015346224,2.19405889014,1.92965361488,0.193011647255,-1.67150961764,0.558226722151,0.046323315017,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,114df6cfc6c1ef1ecf6b98063243858b63cebe86c6edd4a68102d497cf62f008,fitted_model,,12507,601,0.0480530902694,0.206365625001,0.0499568602866,0.0767316721889,0.615015346224,2.19405889014,1.92965361488,0.193011647255,-1.67150961764,0.558226722151,0.046323315017,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M3,raw,796b5a244731f98e9de9926fb2fd0305c96869814c52f05178d5cfa2e2b0b503,fitted_model,,12507,601,0.0480530902694,0.216894324675,0.0531140552091,0.0731174021227,0.616906337581,1.99459899103,1.59695471576,0.159733777038,-1.86118334683,0.510960983989,0.0602835642962,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,796b5a244731f98e9de9926fb2fd0305c96869814c52f05178d5cfa2e2b0b503,fitted_model,,12507,601,0.0480530902694,0.216894324675,0.0531140552091,0.0731174021227,0.616906337581,1.99459899103,1.59695471576,0.159733777038,-1.86118334683,0.510960983989,0.0602835642962,,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,2018-07-01,none,77042,2018-07_to_2018-08
