period,cohort,family,model_id,quantile,n_orders,empirical_coverage,coverage_error,median_prediction,mean_prediction,comparison,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-04,xgboost_quantile,Q2,0.5,306,0.460784313725,-0.0392156862745,6.05946230888,6.11508289505,Q2-Q1,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q3,0.5,306,0.457516339869,-0.0424836601307,6.05729532242,6.08506456076,Q3-Q1,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q4,0.5,306,0.444444444444,-0.0555555555556,6.03493714333,6.07649924241,Q4-Q1,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q1,0.9,306,0.813725490196,-0.0862745098039,15.112864664,15.2692655475,Q1-unconditional,False,True,False,True,2018-04
later,2018-04,linear_quantile,Q2,0.9,306,0.813725490196,-0.0862745098039,15.4475392079,15.4138872891,Q2-Q1,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q3,0.9,306,0.800653594771,-0.0993464052288,14.6263771491,14.7867425097,Q3-Q1,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q4,0.9,306,0.813725490196,-0.0862745098039,15.4476993961,15.4159291527,Q4-Q1,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q1,0.9,306,0.895424836601,-0.00457516339869,20.4744338989,22.271273401,Q1-unconditional,False,True,False,True,2018-04
later,2018-04,xgboost_quantile,Q2,0.9,306,0.892156862745,-0.0078431372549,20.1215858459,21.0630934535,Q2-Q1,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q3,0.9,306,0.918300653595,0.0183006535948,24.2907571793,24.7429102293,Q3-Q1,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q4,0.9,306,0.918300653595,0.0183006535948,22.8257389069,23.3518139397,Q4-Q1,True,False,True,False,2018-04
later,2018-05,linear_quantile,Q1,0.5,443,0.613995485327,0.113995485327,6.82838377687,6.96136454509,Q1-unconditional,False,True,False,True,2018-05
later,2018-05,linear_quantile,Q2,0.5,443,0.613995485327,0.113995485327,6.74245298959,6.97096275801,Q2-Q1,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q3,0.5,443,0.620767494357,0.120767494357,6.78822748796,6.97156752661,Q3-Q1,True,False,True,False,2018-05
later,2018-05,linear_quantile,Q4,0.5,443,0.6230248307,0.1230248307,6.78531123166,7.01874190965,Q4-Q1,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q1,0.5,443,0.604966139955,0.104966139955,6.84239578247,6.88202447977,Q1-unconditional,False,True,False,True,2018-05
later,2018-05,xgboost_quantile,Q2,0.5,443,0.604966139955,0.104966139955,6.83073377609,6.88042553176,Q2-Q1,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q3,0.5,443,0.609480812641,0.109480812641,6.91246032715,6.97314797998,Q3-Q1,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q4,0.5,443,0.6230248307,0.1230248307,6.93104219437,6.93787747527,Q4-Q1,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q1,0.9,443,0.977426636569,0.0774266365688,20.3227406007,20.6608013783,Q1-unconditional,False,True,False,True,2018-05
later,2018-05,linear_quantile,Q2,0.9,443,0.975169300226,0.0751693002257,20.0905330689,20.5253272327,Q2-Q1,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q3,0.9,443,0.977426636569,0.0774266365688,20.2579293121,20.6325765063,Q3-Q1,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q4,0.9,443,0.975169300226,0.0751693002257,20.0905330689,20.5253272327,Q4-Q1,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q1,0.9,443,0.986455981941,0.0864559819413,24.4839267731,25.9834874629,Q1-unconditional,False,True,False,True,2018-05
later,2018-05,xgboost_quantile,Q2,0.9,443,0.979683972912,0.079683972912,23.103269577,23.9947758324,Q2-Q1,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q3,0.9,443,0.979683972912,0.079683972912,22.7582473755,23.4007564571,Q3-Q1,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q4,0.9,443,0.984198645598,0.0841986455982,24.3973255157,24.5385234437,Q4-Q1,True,False,True,False,2018-05
later,2018-06,linear_quantile,Q1,0.5,71,0.478873239437,-0.0211267605634,7.50869948418,7.40841472102,Q1-unconditional,False,True,False,True,2018-06
later,2018-06,linear_quantile,Q2,0.5,71,0.478873239437,-0.0211267605634,7.43857327624,7.41801608846,Q2-Q1,True,False,False,True,2018-06
later,2018-06,linear_quantile,Q3,0.5,71,0.478873239437,-0.0211267605634,7.9283896558,7.61849931573,Q3-Q1,True,False,True,False,2018-06
later,2018-06,linear_quantile,Q4,0.5,71,0.450704225352,-0.0492957746479,7.8110083101,7.56702675026,Q4-Q1,True,False,True,False,2018-06
