analysis,period,cohort,family,model_id,probability_type,comparison,quantile,n_orders,metric,estimate,interpretation,terminal_estimate,later_pooled_estimate,later_pooled_n_orders
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,log_loss,0.206365625001,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,brier,0.0499568602866,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,average_precision,0.0767316721889,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,roc_auc,0.615015346224,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,wace,0.046323315017,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,calibration_intercept,-1.67150961764,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,,,12507,calibration_slope,0.558226722151,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.23176858619,terminal_minus_january_june_pooled_calibration_shift,-1.67150961764,-0.439741031448,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0307360364202,terminal_minus_january_june_pooled_calibration_shift,0.558226722151,0.588962758571,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M2,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.00244183991116,terminal_minus_january_june_pooled_calibration_shift,0.046323315017,0.0438814751059,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,log_loss,0.216894324675,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,brier,0.0531140552091,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,average_precision,0.0731174021227,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,roc_auc,0.616906337581,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,wace,0.0602835642962,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,calibration_intercept,-1.86118334683,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,,,12507,calibration_slope,0.510960983989,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-0.93441898721,terminal_minus_january_june_pooled_calibration_shift,-1.86118334683,-0.926764359616,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,0.0149303827675,terminal_minus_january_june_pooled_calibration_shift,0.510960983989,0.496030601222,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0257425747026,terminal_minus_january_june_pooled_calibration_shift,0.0602835642962,0.0345409895936,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,log_loss,0.216894324675,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,brier,0.0531140552091,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,average_precision,0.0731174021227,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,roc_auc,0.616906337581,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,wace,0.0602835642962,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,calibration_intercept,-1.86118334683,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,,,12507,calibration_slope,0.510960983989,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-0.93441898721,terminal_minus_january_june_pooled_calibration_shift,-1.86118334683,-0.926764359616,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,0.0149303827675,terminal_minus_january_june_pooled_calibration_shift,0.510960983989,0.496030601222,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M3,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0257425747026,terminal_minus_january_june_pooled_calibration_shift,0.0602835642962,0.0345409895936,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,log_loss,0.210053955627,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,brier,0.0515133323695,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,average_precision,0.0789003575403,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,roc_auc,0.634678386127,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,wace,0.0529168168593,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,calibration_intercept,-1.67638271065,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,,,12507,calibration_slope,0.57736983897,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.00403013065,terminal_minus_january_june_pooled_calibration_shift,-1.67638271065,-0.672352579997,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0132266474343,terminal_minus_january_june_pooled_calibration_shift,0.57736983897,0.590596486405,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,raw,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0223970178348,terminal_minus_january_june_pooled_calibration_shift,0.0529168168593,0.0305197990245,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,log_loss,0.210053955627,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,brier,0.0515133323695,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,average_precision,0.0789003575403,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,roc_auc,0.634678386127,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,wace,0.0529168168593,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,calibration_intercept,-1.67638271065,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,,,12507,calibration_slope,0.57736983897,terminal_stress_not_model_selection,,,
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_intercept,-1.00403013065,terminal_minus_january_june_pooled_calibration_shift,-1.67638271065,-0.672352579997,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_calibration_slope,-0.0132266474343,terminal_minus_january_june_pooled_calibration_shift,0.57736983897,0.590596486405,40270
breach_calibration_shift,terminal,2018-07_to_2018-08,logistic_l2,M4,calibrated,terminal_minus_later_pooled,,12507,terminal_minus_later_wace,0.0223970178348,terminal_minus_january_june_pooled_calibration_shift,0.0529168168593,0.0305197990245,40270
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,log_loss,0.207843009458,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,brier,0.051037001921,terminal_stress_not_model_selection,,,
breach_model,terminal,2018-07_to_2018-08,logistic_l2,M5,raw,,,12507,average_precision,0.0801485800194,terminal_stress_not_model_selection,,,
