period,cohort,family,quantile,ablation_id,representation,fitted_model_sha256,model_hash_type,reference_fitted_model_sha256,q1_reference_loss,skill_vs_q1,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,cohort_month
later,2018-01,xgboost_quantile,0.5,route_r1_score_only,score_only,dbe35a8e8bd574fab8e801da2bdbca9f223b75d80cddb1f251d3df023994c9e2,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00668357886784,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.27966289189,0.406947890819,-0.0930521091811,5.4778585434,5.46371135522,7,11.8808933002,12.6266372693,19.4287272453,2018-01
later,2018-01,xgboost_quantile,0.5,route_r2_score_only,score_only,384a1a6d58ea726f08734601101b094b63ee858dbd236cdc475d22fbee60547e,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00238274243692,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.26137896389,0.404466501241,-0.0955334987593,5.54208183289,5.5274435403,7,11.8808933002,12.4898160378,19.3220567703,2018-01
later,2018-01,xgboost_quantile,0.5,combined_score_only,score_only,20b0f9982697910757b0d240b3f1a588c5fb706c010fd08f695506dd2bc87009,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.0046107582449,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.2708508146,0.406947890819,-0.0930521091811,5.49163150787,5.51933706014,7,11.8808933002,12.5648805886,19.2647893906,2018-01
later,2018-01,xgboost_quantile,0.5,combined_metadata_only,metadata_only,ef0e64580a7e2b294c9b1064f94b9273e8e0ecbe68c3e2c2f1391f4d28d9deb6,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,-0.00300129812707,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.26400859835,0.406947890819,-0.0930521091811,5.5076918602,5.48296323663,7,11.8808933002,12.5840099287,19.709688282,2018-01
later,2018-01,xgboost_quantile,0.5,combined_full,full,5375917f4066ea9c724a39845464dd59b4627175a847bfea8441a43001849277,fitted_model,424492806bc4ee35181eb92b23c94e343800ae50c42a658bbe1b22848f42a899,4.25124933169,0.00172178986556,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.24392957368,0.416873449132,-0.0831265508685,5.62440919876,5.61267958445,7,11.8808933002,12.6525475827,19.6296943665,2018-01
later,2018-01,linear_quantile,0.9,seller_score_only,score_only,11754fe54990c58f6602bb42d4c258318b0bb2132c6500c9fe0ecdcc0c4911e7,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,seller_metadata_only,metadata_only,45c747d405efffddeea64563a7ba872171d4f06c195d29482c60c9d5ca9d5886,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0.00122221266403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72048351754,0.895781637717,-0.00421836228288,25.1026142108,24.9328019056,7,11.8808933002,23.1753081137,24.3108633743,2018-01
later,2018-01,linear_quantile,0.9,seller_full,full,d66e4f53c50427a07cf941181eff93b1f4d9738d82bc9f491785b9540bcab29f,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0.00122221266403,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72048351754,0.895781637717,-0.00421836228288,25.1026142108,24.9328019056,7,11.8808933002,23.1753081137,24.3108633743,2018-01
later,2018-01,linear_quantile,0.9,seller_s1_score_only,score_only,8d110756a26f5416f2e9916aea039406deb1bd70d56e9dd1806e88880e080e0a,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
later,2018-01,linear_quantile,0.9,seller_s2_score_only,score_only,8d0a59c652e52bc09df2062661d54f35533db6168beca4e4afd3d19575319e6e,fitted_model,583e358290908b8e7b44c6b242952c7842fad79f8eba985536bd5147dacd80a0,3.72503630409,0,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,3.72503630409,0.890818858561,-0.00918114143921,25.0039324433,24.7131384234,7,11.8808933002,22.3647761837,24.0531837994,2018-01
