period,cohort,family,model_id,quantile,n_orders,pinball_loss,skill_vs_unconditional,skill_vs_q1,order_id_sha256,comparison,pinball_skill,coverage_not_materially_worse,coverage_materially_worse,support_ge20_gain_present,gain_only_low_support,cohort_month
later,2018-03,xgboost_quantile,Q2,0.9,1328,2.25586529417,-0.0643747284376,0.0433981294056,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q2-Q1,0.0433981294056,True,False,True,False,2018-03
later,2018-03,xgboost_quantile,Q3,0.9,1328,2.21944862877,-0.0471924177528,0.0588406517646,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q3-Q1,0.0588406517646,True,False,True,False,2018-03
later,2018-03,xgboost_quantile,Q4,0.9,1328,2.24006854741,-0.0569214207916,0.0500967552239,5092f5e7034c263ff007ff4a6fab61efb011668930b5964c9bdd412718e5736f,Q4-Q1,0.0500967552239,True,False,True,False,2018-03
later,2018-04,linear_quantile,Q1,0.5,306,3.57966870624,-0.000802763004311,0,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q1-unconditional,-0.000802763004311,False,True,False,True,2018-04
later,2018-04,linear_quantile,Q2,0.5,306,3.56561817891,0.00312547944605,0.00392509153209,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q2-Q1,0.00392509153209,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q3,0.5,306,3.57966870624,-0.00080276300431,1.11022302463e-16,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q3-Q1,1.11022302463e-16,True,False,True,False,2018-04
later,2018-04,linear_quantile,Q4,0.5,306,3.56561817891,0.00312547944605,0.00392509153209,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q4-Q1,0.00392509153209,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q1,0.5,306,3.57137022065,0.0015173252449,0,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q1-unconditional,0.0015173252449,False,True,False,True,2018-04
later,2018-04,xgboost_quantile,Q2,0.5,306,3.56290350942,0.00388444597289,0.00237071787807,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q2-Q1,0.00237071787807,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q3,0.5,306,3.56606905601,0.0029994233551,0.00148435035246,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q3-Q1,0.00148435035246,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q4,0.5,306,3.56801584889,0.00245513955226,0.000939239439066,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q4-Q1,0.000939239439066,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q1,0.9,306,2.99094239933,-0.0569677493867,0,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q1-unconditional,-0.0569677493867,False,True,False,True,2018-04
later,2018-04,linear_quantile,Q2,0.9,306,2.9871579459,-0.0556303631412,0.00126530468529,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q2-Q1,0.00126530468529,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q3,0.9,306,3.02909429059,-0.070450228573,-0.0127558094314,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q3-Q1,-0.0127558094314,True,False,False,True,2018-04
later,2018-04,linear_quantile,Q4,0.9,306,2.98664633166,-0.0554495640229,0.00143635921219,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q4-Q1,0.00143635921219,True,False,False,True,2018-04
later,2018-04,xgboost_quantile,Q1,0.9,306,2.83853447172,-0.00310838243154,0,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q1-unconditional,-0.00310838243154,False,True,False,True,2018-04
later,2018-04,xgboost_quantile,Q2,0.9,306,2.81706611908,0.00447830876876,0.00756318193844,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q2-Q1,0.00756318193844,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q3,0.9,306,2.81401690502,0.0055558691125,0.00863740319171,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q3-Q1,0.00863740319171,True,False,True,False,2018-04
later,2018-04,xgboost_quantile,Q4,0.9,306,2.78465826059,0.0159309068691,0.0189802912967,f70654d8c209bccbb417414da1c2ceea047caa7f2467d1ed8101efa66eb66fd9,Q4-Q1,0.0189802912967,True,False,True,False,2018-04
later,2018-05,linear_quantile,Q1,0.5,443,2.27601219209,0.00858072655116,0,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q1-unconditional,0.00858072655116,False,True,False,True,2018-05
later,2018-05,linear_quantile,Q2,0.5,443,2.28506027036,0.00463942992012,-0.00397540852452,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q2-Q1,-0.00397540852452,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q3,0.5,443,2.28099378437,0.00641077042877,-0.00218873707674,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q3-Q1,-0.00218873707674,True,False,True,False,2018-05
later,2018-05,linear_quantile,Q4,0.5,443,2.29240424728,0.00144043112462,-0.00720209463116,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q4-Q1,-0.00720209463116,True,False,True,False,2018-05
later,2018-05,xgboost_quantile,Q1,0.5,443,2.27571254336,0.00871125200622,0,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q1-unconditional,0.00871125200622,False,True,False,True,2018-05
later,2018-05,xgboost_quantile,Q2,0.5,443,2.27913039048,0.00722245527697,-0.00150187998428,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q2-Q1,-0.00150187998428,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q3,0.5,443,2.28782293867,0.00343602573391,-0.00532158393101,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q3-Q1,-0.00532158393101,True,False,False,True,2018-05
later,2018-05,xgboost_quantile,Q4,0.5,443,2.28282182588,0.00561448489201,-0.00312398089908,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q4-Q1,-0.00312398089908,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q1,0.9,443,1.99341652992,0.0302179631532,0,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q1-unconditional,0.0302179631532,False,True,False,True,2018-05
later,2018-05,linear_quantile,Q2,0.9,443,1.98808671104,0.0328108796511,0.00267371058583,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q2-Q1,0.00267371058583,True,False,False,True,2018-05
later,2018-05,linear_quantile,Q3,0.9,443,1.9914387985,0.0311801145024,0.000992131543577,1e8f737f65d16539c4d5c862ea765abd56a694c2e2362f8b4d7ef7e39e6c770f,Q3-Q1,0.000992131543577,True,False,False,True,2018-05
