task,family,model_family,comparison,candidate_model,candidate_specification,reference_model,reference_specification,representation,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason,label_namespace,evidence_role,outcome,profile_block,specification,quantile,median_skill,favourable_month_count,high_support_median_skill,high_support_favourable_month_count,support_ge20_gain_present,high_support_guard,gain_only_low_support,coverage_guard_available,median_absolute_coverage_error_deterioration,coverage_not_materially_worse,coverage_materially_worse,label_type,label_namespace_source,source_evidence_labels_sha256,protected_label_unchanged
severity,lognormal_ridge,lognormal_ridge,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,seller,DQS,0.5,0.00136094074254,3,-0.00363194268387,2,False,False,True,True,0.00242248692394,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,lognormal_ridge,lognormal_ridge,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,both,DQB,0.9,-0.00285088634486,3,-0.00534709363048,2,False,False,True,True,-0.00236936296064,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,lognormal_ridge,lognormal_ridge,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,True,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,state_od,DQG,0.9,0.00197958322708,4,0.00419513964845,4,True,True,False,True,-0.00112866817156,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,lognormal_ridge,lognormal_ridge,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,seller,DQS,0.9,-0.00290758792723,2,-0.00390278023085,2,False,False,True,True,0.00312589450675,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,True,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,both,DQB,0.5,0.00714874448574,4,0.00219154065308,4,True,True,False,True,0.0295212540302,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,state_od,DQG,0.5,-0.00395175137805,2,-0.00273863255938,3,False,False,True,True,0.0427068073784,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,True,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,seller,DQS,0.5,0.0154878362616,6,0.0139352724661,6,True,True,False,True,0.0110967628614,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,True,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,both,DQB,0.9,0.0482986236869,5,0.025024656592,4,True,True,False,True,0.0172347055609,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,gain_confined_to_lower_support_orders,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,state_od,DQG,0.9,0.0115657390639,4,-0.00106974430355,3,False,False,True,True,0.0312415009927,False,True,ROBUSTNESS EVIDENCE LABEL,,,
severity,random_forest_leaf_weighted_quantile,random_forest_leaf_weighted_quantile,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,True,Supported,Supported,positive_median_four_months_support_and_coverage_guards_pass,direct_model_family_robustness_v1,subsequent_model_family_robustness,conditional_positive_lateness,seller,DQS,0.9,0.0627893466798,6,0.0774630498739,6,True,True,False,True,-0.00235824507533,True,False,ROBUSTNESS EVIDENCE LABEL,,,
severity,xgboost_quantile,xgboost_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,both,DQB,0.5,-0.000152139854368,2,-0.000254464465177,1,False,False,True,True,-0.000880974879912,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
severity,xgboost_quantile,xgboost_quantile,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,state_od,DQG,0.5,1.90782815425e-05,3,7.00762099052e-05,3,False,False,True,True,-0.000218394439115,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
severity,xgboost_quantile,xgboost_quantile,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,gain_confined_to_lower_support_orders,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,seller,DQS,0.5,7.76680377993e-05,4,3.65227418964e-06,3,False,False,True,True,-0.000539956803456,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
severity,xgboost_quantile,xgboost_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,both,DQB,0.9,-0.00411813543947,2,-0.00385617313606,2,False,False,True,True,0.00161987041037,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
severity,xgboost_quantile,xgboost_quantile,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,state_od,DQG,0.9,-0.00201792974276,2,-0.00249204982777,1,False,False,True,True,0.000753012048193,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
severity,xgboost_quantile,xgboost_quantile,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,seller,DQS,0.9,-0.00466230145562,0,-0.00368460306302,1,False,False,True,True,0.00248138957816,True,False,PROTECTED PRE-EXISTING DIRECT-EXTENSION LABEL,direct_promise_profile_extension_v1,fab159672c7bbf92ec74f4683a79a45de8cffe534a10ad7f61e29828270f84d8,1.0
