definition,granularity,n_hrd_days,n_event_clusters,n_orders,pct_all_placed_orders,active_entities,entity_id_nonmissing_rate,historical_hrd_clusters_available,entities_support_ge_1,pct_entities_support_ge_1,order_weighted_support_ge_1_rate,entities_support_ge_5,pct_entities_support_ge_5,order_weighted_support_ge_5_rate,entities_support_ge_10,pct_entities_support_ge_10,order_weighted_support_ge_10_rate,entities_support_ge_20,pct_entities_support_ge_20,order_weighted_support_ge_20_rate,entities_support_ge_50,pct_entities_support_ge_50,order_weighted_support_ge_50_rate
gmv_top5,seller_x_customer_region,39,23,13276,0.13350630021821985,3282,0.9946520036155468,23,3282,1.0,0.9946520036155468,593,0.18068251066422913,0.6660891834890027,269,0.08196221815965875,0.508737571557698,102,0.031078610603290677,0.33956010846640555,25,0.007617306520414382,0.17542934618861103
gmv_top5,seller_x_customer_state,39,23,13276,0.13350630021821985,5350,0.9946520036155468,23,5350,1.0,0.9946520036155468,549,0.10261682242990654,0.4711509490810485,187,0.034953271028037386,0.2982072913528171,56,0.010467289719626169,0.1681229285929497,11,0.00205607476635514,0.06590840614642965
gmv_top5,seller_x_state_od,39,23,13276,0.13350630021821985,5350,0.9946520036155468,23,5350,1.0,0.9946520036155468,549,0.10261682242990654,0.4711509490810485,187,0.034953271028037386,0.2982072913528171,56,0.010467289719626169,0.1681229285929497,11,0.00205607476635514,0.06590840614642965
gmv_top5,region_od,39,23,13276,0.13350630021821985,21,0.9946520036155468,23,21,1.0,0.9946520036155468,20,0.9523809523809523,0.9944260319373305,18,0.8571428571428571,0.9936727930099427,16,0.7619047619047619,0.9914884001205182,12,0.5714285714285714,0.9832027719192528
gmv_top5,state_od,39,23,13276,0.13350630021821985,270,0.9946520036155468,23,270,1.0,0.9946520036155468,121,0.44814814814814813,0.9727327508285628,81,0.3,0.953449834287436,56,0.2074074074074074,0.9264085567942151,32,0.11851851851851852,0.8699909611328713
gmv_top5,zip2_od,39,23,13276,0.13350630021821985,3187,0.9946520036155468,23,3187,1.0,0.9946520036155468,754,0.23658613115782867,0.6590840614642964,279,0.08754314402259178,0.4299487797529376,98,0.03074992155632256,0.2542934618861103,13,0.004079071226859115,0.06741488400120518
both_top10,seller_id,66,30,21117,0.21235707605514828,1967,0.9944594402614008,30,1967,1.0,0.9944594402614008,797,0.4051855617691917,0.8866316238102003,470,0.23894255210981188,0.7837761045603069,243,0.1235383833248602,0.6382061845906142,66,0.03355363497712252,0.3927641236918123
both_top10,seller_x_customer_region,66,30,21117,0.21235707605514828,4088,0.9944594402614008,30,4088,1.0,0.9944594402614008,914,0.2235812133072407,0.7406828621489795,442,0.10812133072407044,0.5959653359852252,187,0.04574363992172211,0.4325425013022683,47,0.01149706457925636,0.2360183738220391
both_top10,seller_x_customer_state,66,30,21117,0.21235707605514828,7171,0.9944594402614008,30,7171,1.0,0.9944594402614008,913,0.12731836563938084,0.55344035611119,344,0.047970994282526845,0.38030970308282425,127,0.017710221726397992,0.24676800681915045,29,0.0040440663784688325,0.11777241085381446
both_top10,seller_x_state_od,66,30,21117,0.21235707605514828,7171,0.9944594402614008,30,7171,1.0,0.9944594402614008,913,0.12731836563938084,0.55344035611119,344,0.047970994282526845,0.38030970308282425,127,0.017710221726397992,0.24676800681915045,29,0.0040440663784688325,0.11777241085381446
