model_family,family,specification,model_id,representation,method,evaluation_fold,log_loss,brier,invalid_reason,mean_log_loss,mean_brier,valid_folds,complexity,selected,calibrator_parameters_json,oof_n_orders,oof_order_id_sha256
xgboost,xgboost,DP0,DP0,full,platt,2,0.121389172918,0.0244524958843,,0.188131531491,0.0416178533901,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DP0,DP0,full,platt,3,0.254873890064,0.058783210896,,0.188131531491,0.0416178533901,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DP0,DP0,full,isotonic,2,0.127002207749,0.0245650697992,,0.192927532698,0.0417523144722,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DP0,DP0,full,isotonic,3,0.258852857647,0.0589395591453,,0.192927532698,0.0417523144722,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,none,2,0.116110274353,0.0242729846855,,0.178091785593,0.0411502339124,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,none,3,0.240073296832,0.0580274831392,,0.178091785593,0.0411502339124,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,platt,2,0.121057641047,0.0244444967936,,0.187530713507,0.0415931017373,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,platt,3,0.254003785966,0.0587417066811,,0.187530713507,0.0415931017373,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,isotonic,2,0.126722444779,0.0245475431287,,0.186352646278,0.0414588488439,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPB,DPB,full,isotonic,3,0.245982847776,0.0583701545591,,0.186352646278,0.0414588488439,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,none,2,0.116136461473,0.0242737601344,,0.178122442415,0.0411519902355,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,none,3,0.240108423356,0.0580302203367,,0.178122442415,0.0411519902355,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,platt,2,0.121139695136,0.0244461258029,,0.187601138477,0.0415953424518,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,platt,3,0.254062581818,0.0587445591006,,0.187601138477,0.0415953424518,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,isotonic,2,0.127625436816,0.0245630430456,,0.187966449147,0.0415228775905,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPG,DPG,full,isotonic,3,0.248307461478,0.0584827121354,,0.187966449147,0.0415228775905,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,none,2,0.116297714807,0.0242828505801,,0.178379557165,0.0411687342722,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,none,3,0.240461399522,0.0580546179643,,0.178379557165,0.0411687342722,2,0,True,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,platt,2,0.121161325156,0.0244465576523,,0.187485181718,0.0415913883657,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,platt,3,0.253809038279,0.0587362190791,,0.187485181718,0.0415913883657,2,1,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,isotonic,2,0.317692412676,0.0248215093359,,0.286650030022,0.0417788361161,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
xgboost,xgboost,DPS,DPS,full,isotonic,3,0.255607647369,0.0587361628963,,0.286650030022,0.0417788361161,2,2,False,"{""isotonic_x"":[],""isotonic_y"":[],""method"":""none"",""platt_intercept"":null,""platt_slope"":null}",24066,edd9fb9bd8cf72500021902ef22555e52ad8f212302203357c2598da016d38f2
