period,cohort,cohort_month,origin,family,model_id,model_name,representation,probability_type,probability_variant,calibration_method,n_train,train_order_id_sha256,fitted_model_sha256,model_hash_type,n_orders,n_events,prevalence,log_loss,brier,average_precision,roc_auc,top_5pct_lift,top_10pct_lift,top_10pct_recall,calibration_intercept,calibration_slope,wace,calibration_invalid_reason,order_id_sha256,model_family,specification,n_obs,brier_score,top10_lift,comparison,candidate_model,reference_model,ablation_id,reference_fitted_model_sha256,delta_log_loss,delta_brier,delta_brier_score,both_improved_month_count
later,2018-02,2018-02,2018-02-01,logistic_l2,DPB,Promise + both profile blocks,score_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,91bf15837bea0064f6984678b3833edc893be945c2e1bb41264bde5e5fb074cf,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.397579402572,0.117921061106,0.31259911753,0.719467452375,2.93512616552,2.76247168519,0.276457883369,1.19318479569,1.18246302281,0.0671980501874,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPB,6555,0.117921061106,2.76247168519,DPB-DP0,DPB,DP0,DPB_score_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.0667467606164,-0.0114351615701,-0.0114351615701,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPG,Promise + geographic profiles,full,raw,raw,none,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,e4d3eea2aa85bb97789ac237a611c126c1bd820e4fe37ef2e90f640e27c6c8a7,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.396694156116,0.11830056954,0.330222270812,0.721760901871,3.47467141653,3.09698974082,0.309935205184,1.748272296,1.4194731159,0.0696934227895,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPG,6555,0.11830056954,3.09698974082,DPG-DP0,DPG,DP0,DPG_full,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.0676320070723,-0.0110556531354,-0.0110556531354,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPG,Promise + geographic profiles,metadata_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,4b7e5e74d10aa718ac7cf428a085fb68e5504fe615fa2fc1bb36bb8be2aadd06,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.4565285648,0.128404069969,0.16771910157,0.579356575617,1.25174498235,1.23016317231,0.123110151188,0.904764958878,0.946014659267,0.0869537392059,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPG,6555,0.128404069969,1.23016317231,DPG-DP0,DPG,DP0,DPG_metadata_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.00779759838826,-0.000952152706623,-0.000952152706623,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPG,Promise + geographic profiles,score_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,c889b4bb0b9c4def6f9d3bccccd8d1f0d9604500cb4f60dafcd20b19f7530914,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.407469575139,0.120426146133,0.322807503317,0.720395709967,3.47467141653,2.99987159564,0.300215982721,1.94616359983,1.43429833022,0.0744835484839,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPG,6555,0.120426146133,2.99987159564,DPG-DP0,DPG,DP0,DPG_score_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.0568565880489,-0.00893007654267,-0.00893007654267,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPS,Promise + seller profiles,full,raw,raw,none,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,e0a7b8c16683aca61dfb68dd0becd99eda5f20940a80352f0cf2452952037c39,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.457869826247,0.128378198938,0.163693607269,0.540762374114,1.4891448928,1.21937226729,0.122030237581,-0.205949198872,0.558954775931,0.0861076378877,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPS,6555,0.128378198938,1.21937226729,DPS-DP0,DPS,DP0,DPS_full,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.00645633694161,-0.000978023738162,-0.000978023738162,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPS,Promise + seller profiles,metadata_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,3137b4e7e2b049689e20f4f8883181820ee05c252c3c89fa205c97078b8a56d4,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.459101036068,0.128546038562,0.165675682645,0.539533202595,1.51072670284,1.19779045725,0.119870410367,0.109252344541,0.665380947083,0.0872822694436,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPS,6555,0.128546038562,1.19779045725,DPS-DP0,DPS,DP0,DPS_metadata_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.00522512712056,-0.000810184113492,-0.000810184113492,
later,2018-02,2018-02,2018-02-01,logistic_l2,DPS,Promise + seller profiles,score_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,aaecfb99422db0f3d824d4c88018a0e9f8c7be4f2889a9fec89bbd0b0cc3f335,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.458602235201,0.128496443148,0.157917818685,0.537782395777,1.53230851288,1.16541774219,0.116630669546,-0.370525894885,0.500891703592,0.086188416382,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,logistic_l2,DPS,6555,0.128496443148,1.16541774219,DPS-DP0,DPS,DP0,DPS_score_only,a8cb8604f0f776858c5ecab45050abee97323f894e0032a566c1ebbfb1d8035c,-0.00572392798727,-0.000859779527493,-0.000859779527493,
later,2018-02,2018-02,2018-02-01,xgboost,DPB,Promise + both profile blocks,full,raw,raw,none,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,8c7636cc25f064c253b990368fe9224c1f8cbf16cdacd64db23c63695d52b920,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.458020284021,0.128682392203,0.206864384891,0.656788434008,0.669036111257,1.03592688195,0.103671706263,-0.544371316683,0.442858116661,0.0857509794408,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,xgboost,DPB,6555,0.128682392203,1.03592688195,DPB-DP0,DPB,DP0,DPB_full,d73b829acd99738a4439a9617c00d6c1853264dafc0ddc6eba6af6485003e07a,-0.00545656784983,-0.000592222674236,-0.000592222674236,
later,2018-02,2018-02,2018-02-01,xgboost,DPB,Promise + both profile blocks,metadata_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,4cc7b691bfddaa9ef2fe1270e49a1658e08c25e1637ace1cca4b0304a3434ca8,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.46522268842,0.129438169056,0.151718529347,0.531820424698,0.798526971501,0.938808736764,0.0939524838013,6.51662043117,2.83993674847,0.0906685784868,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,xgboost,DPB,6555,0.129438169056,0.938808736764,DPB-DP0,DPB,DP0,DPB_metadata_only,d73b829acd99738a4439a9617c00d6c1853264dafc0ddc6eba6af6485003e07a,0.00174583654831,0.000163554178891,0.000163554178891,
later,2018-02,2018-02,2018-02-01,xgboost,DPB,Promise + both profile blocks,score_only,raw,raw,,42578,a51820ff53f7771f9c44ce45be1dcb2d238a8e28dccc88b566859c028e0e982b,731160ac0b9a8a4575b03d9c4cf3f88883b77dd6f2a0b339bdaf1e59442f558b,sha256_pickle_protocol_5_fitted_wrapper,6555,926,0.141266209001,0.456868517258,0.128592898983,0.235470886485,0.687478680867,2.41716272454,2.10422647895,0.210583153348,27.2196617382,10.114561034,0.0893251240367,,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,xgboost,DPB,6555,0.128592898983,2.10422647895,DPB-DP0,DPB,DP0,DPB_score_only,d73b829acd99738a4439a9617c00d6c1853264dafc0ddc6eba6af6485003e07a,-0.00660833461355,-0.000681715893828,-0.000681715893828,
