task,outcome,period,cohort,cohort_month,family,model_family,model_id,specification,representation,quantile,probability_type,metric,estimate,n_orders,n_obs,n_events,order_id_sha256,fitted_model_sha256,evidence_status,evidence_label,mapping_status,median_support
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,calibration_slope,9.7170148231,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,log_loss,0.197558715873,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,roc_auc,0.569028451657,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,top_10pct_lift,0.715302633102,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DP0,DP0,full,,calibrated,wace,0.0414146306232,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,0369fd846a86e5b604a24c0304d916951ef795ef50024a387e8ed9feb3704702,Reference,Reference,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,average_precision,0.0534074745093,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,brier,0.0462904118737,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,calibration_intercept,-1.20864116877,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,calibration_slope,0.693202581955,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,delta_brier,-2.75613391056e-05,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,delta_log_loss,-0.000210621598063,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,log_loss,0.197348094275,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,roc_auc,0.473872008492,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,top_10pct_lift,1.09790636709,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPB,DPB,full,,calibrated,wace,0.02731281988,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,022f76d6c5c14c3bea27b3be507d8888c7375292ea074e7b27a4c50a476db492,Mixed,Mixed,,
breach,breach_probability,terminal,2018-07_to_2018-08,2018-07_to_2018-08,xgboost,xgboost,DPG,DPG,full,,calibrated,average_precision,0.0523026066214,12507,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,9deff4791e0e75b3b8a4de10e8e73600dcae58e42fe816d64629f1a5c1dc2831,Mixed,Mixed,,
