period,cohort,cohort_month,family,model_family,comparison,candidate_model,candidate_specification,reference_model,reference_specification,representation,probability_type,probability_variant,n_orders,n_obs,n_events,order_id_sha256,paired_order_id_sha256,delta_log_loss,delta_brier,delta_brier_score,delta_average_precision,delta_roc_auc,delta_top_10pct_lift,delta_top10_lift,delta_calibration_intercept,delta_calibration_slope,is_pooled,replicates,valid_replicates,n_blocks,delta_log_loss_lower,delta_log_loss_upper,delta_brier_lower,delta_brier_upper,invalid_reason,task,model_family_evidence,candidate_specification_evidence,reference_specification_evidence,representation_evidence,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason
later,2018-02,2018-02,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.0676320070723,-0.0110556531354,-0.0110556531354,0.19501567892,0.208583135698,2.78405349523,2.78405349523,0.265845591051,0.29131283231,False,500,500,5,-0.111283826292,-0.0239087867817,-0.0185091991596,-0.00375473226066,,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
later,2018-02,2018-02,logistic_l2,logistic_l2,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00645633694161,-0.000978023738162,-0.000978023738162,0.0284870153764,0.0275846079409,0.906436021704,0.906436021704,-1.68837590382,-0.569205507659,False,500,500,5,-0.0107072633531,-0.00370685422303,-0.00170701852782,-0.000515172120802,,breach,logistic_l2,DPS,DP0,full,6,True,-0.00415653020117,-0.00047411302235,6,True,-0.00388823165404,-0.000390794822282,False,True,True,-0.00754606386358,-3.46107307636,True,False,True,-0.00375374505547,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-02,2018-02,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00545656784983,-0.000592222674236,-0.000592222674236,0.0414556488787,0.0793080380182,-0.345308960649,-0.345308960649,-63.2048608159,-21.725995635,False,500,500,5,-0.00872798921407,-0.00175074438275,-0.000963725578393,-0.000168413383244,,breach,xgboost,DPB,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
later,2018-02,2018-02,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.00291412920965,-0.000317567741613,-0.000317567741613,0.0206457352444,0.0388369854199,-0.345308960649,-0.345308960649,-61.1107917085,-21.006827718,False,500,500,5,-0.00441705801445,-0.00146736545156,-0.000487859957389,-0.000154798518586,,breach,xgboost,DPG,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
later,2018-02,2018-02,xgboost,xgboost,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,6555,6555,926,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,02786257f3541e7684cbb92ee3533cd5479cfac0aa39a1f4199a4465c8ee2f98,-0.000210831099065,-2.8113626589e-05,-2.8113626589e-05,-0.00888615236705,-0.0392763178342,-0.237399910446,-0.237399910446,-55.5564215144,-19.1021059992,False,500,500,5,-0.000847628706197,0.000489583802347,-9.41872196054e-05,4.21308350097e-05,,breach,xgboost,DPS,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-03,2018-03,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,7003,7003,1328,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.109133636956,-0.0185032282085,-0.0185032282085,0.202504058414,0.258101613502,2.04614750013,2.04614750013,8.95605543348,3.33952088095,False,500,500,5,-0.155852589598,-0.0675779664499,-0.0264205245566,-0.0114665541216,,breach,logistic_l2,DPB,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-03,2018-03,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,7003,7003,1328,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0978187916187,-0.0155027039732,-0.0155027039732,0.215646087694,0.262114537445,2.10632830896,2.10632830896,9.6885881243,3.60374357875,False,500,500,5,-0.138721538334,-0.0606533727232,-0.0218464885855,-0.00967705553426,,breach,logistic_l2,DPG,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months
later,2018-03,2018-03,logistic_l2,logistic_l2,DPS-DP0,DPS,DPS,DP0,DP0,full,calibrated,calibrated,7003,7003,1328,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.00796549479204,-0.00122434954503,-0.00122434954503,0.038862728059,0.058995939706,0.782350514755,0.782350514755,6.72372628135,2.32975266023,False,500,500,5,-0.0131164856415,-0.00280385246763,-0.00192309050785,-0.00057617145573,,breach,logistic_l2,DPS,DP0,full,6,True,-0.00415653020117,-0.00047411302235,6,True,-0.00388823165404,-0.000390794822282,False,True,True,-0.00754606386358,-3.46107307636,True,False,True,-0.00375374505547,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass
later,2018-03,2018-03,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,calibrated,calibrated,7003,7003,1328,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.00555864156153,-0.000565662126017,-0.000565662126017,0.0709469002669,0.0918607027228,0.488969071722,0.488969071722,18.6871892415,6.55804158988,False,500,500,5,-0.0073739453589,-0.00362245917468,-0.000750807828449,-0.000368187826958,,breach,xgboost,DPB,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
later,2018-03,2018-03,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,calibrated,calibrated,7003,7003,1328,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,184fab6850ceddcb6640c6d7c40a99ad76b6567a0af96fd41049a0eaafe65828,-0.0046729712475,-0.000478795626833,-0.000478795626833,0.0668858267675,0.0752401013747,0.436310863998,0.436310863998,9.9470275818,3.49186713096,False,500,500,5,-0.00636066971448,-0.00322797816565,-0.000654360267989,-0.000328686301541,,breach,xgboost,DPG,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed
