period,cohort,cohort_month,origin,family,model_id,model_name,quantile,representation,n_train_breaches,train_order_id_sha256,fitted_model_sha256,model_hash_type,unconditional_training_quantile,unconditional_reference_loss,baseline_pinball_loss,dq0_reference_loss,skill,skill_vs_dq0,skill_vs_unconditional,nominal_coverage,order_id_sha256,n_orders,pinball_loss,empirical_coverage,coverage_error,median_prediction,mean_prediction,median_actual,mean_actual,mean_exceedance,p90_absolute_error,model_family,specification,n_obs,coverage,comparison,candidate_model,reference_model,ablation_id,favourable_month_count
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQS,Promise + seller profiles,0.5,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,916bb843ae3f3e3d8ee628f362000c3dcf73dc35ddc9c81f653670650bc02488,sha256_pickle_protocol_5_fitted_wrapper,5,4.31389578164,4.31145781145,4.31145781145,-0.000643159440575,-0.000643159440575,-7.76524580792e-05,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.31423076625,0.374689826303,-0.125310173697,5,5.01086849374,7,11.8808933002,12.3926388782,20.0359999657,xgboost_quantile,DQS,403,0.374689826303,DQS-DQ0,DQS,DQ0,DQS_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQS,Promise + seller profiles,0.5,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,8d480ab57557454a96bc248a0ff5d83b5a88f035206d3ca08bf764ce997a3aa9,sha256_pickle_protocol_5_fitted_wrapper,,,4.31145781145,4.31145781145,-0.000142447320061,-0.000142447320061,,0.5,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.31207196707,0.397022332506,-0.102977667494,5,5.02188580089,7,11.8808933002,12.838909522,19.9400000572,xgboost_quantile,DQS,403,0.397022332506,DQS-DQ0,DQS,DQ0,DQS_score_only,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQS,Promise + seller profiles,0.9,full,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,dcb65436ec5bc3b02dd9dd5ef30f54fb48ec421050f18d579dfe337354a644e5,sha256_pickle_protocol_5_fitted_wrapper,17,4.05037220844,3.99849137952,3.99849137952,-0.0135141589038,-0.0135141589038,-0.000532153306665,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.0525276274,0.801488833747,-0.0985111662531,17.0912475586,17.1940008925,7,11.8808933002,17.7381299734,16.3903064728,xgboost_quantile,DQS,403,0.801488833747,DQS-DQ0,DQS,DQ0,DQS_full,
later,2018-01,2018-01,2018-01-01,xgboost_quantile,DQS,Promise + seller profiles,0.9,score_only,1575,e6a57d0489d8ee13591169e9f3fa6f0c76d0a20b8826c31bd454f882ce01994b,44a87a99d1302714df059eb036751b4a8b1b52f07bb3475ad2fd37888f6546b6,sha256_pickle_protocol_5_fitted_wrapper,,,3.99849137952,3.99849137952,-0.0116906003026,-0.0116906003026,,0.9,cc962f7c6748592fd8cbeb18e371836d602ddaae3749434d4bfdae9acdb702b7,403,4.04523614405,0.803970223325,-0.0960297766749,17.0456180573,17.2965716937,7,11.8808933002,17.8731433772,16.4486495972,xgboost_quantile,DQS,403,0.803970223325,DQS-DQ0,DQS,DQ0,DQS_score_only,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQB,Promise + both profile blocks,0.5,full,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,c79fc7790630fee80035fdf4913bcebdc56467e45de7f5b580d12221f59e0fba,sha256_pickle_protocol_5_fitted_wrapper,6,4.37958963283,4.33729835919,4.33729835919,0.0202195065633,0.0202195065633,0.0296807046262,0.5,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,4.24960032655,0.442764578834,-0.0572354211663,7.4309492628,7.12953687479,8,12.5777537797,12.5148339716,20.0328539685,linear_quantile,DQB,926,0.442764578834,DQB-DQ0,DQB,DQ0,DQB_full,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQB,Promise + both profile blocks,0.5,score_only,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,b6ee656546f31630aef601675c02fca8ebeb7d7a7d168647a35b42d33f36435b,sha256_pickle_protocol_5_fitted_wrapper,,,4.33729835919,4.33729835919,0.0099875310808,0.0099875310808,,0.5,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,4.29397945703,0.42656587473,-0.07343412527,6.99659118892,6.74507551042,8,12.5777537797,12.5739265836,20.6909227071,linear_quantile,DQB,926,0.42656587473,DQB-DQ0,DQB,DQ0,DQB_score_only,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQB,Promise + both profile blocks,0.9,full,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,3b66afa99a0f9a85a5604decae63eea859790949fd59c2d2679189aa763caffd,sha256_pickle_protocol_5_fitted_wrapper,21,3.35518358531,3.35518358531,3.35518358531,-0.00337966761715,-0.00337966761715,-0.00337966761715,0.9,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,3.36652299063,0.829373650108,-0.070626349892,20.8652097192,20.7834237042,8,12.5777537797,14.9212357868,19.5436753121,linear_quantile,DQB,926,0.829373650108,DQB-DQ0,DQB,DQ0,DQB_full,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQB,Promise + both profile blocks,0.9,score_only,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,af00968173c7844f9249c4ce876a167eb636b2f78659d6f10762aaaa2cd5d188,sha256_pickle_protocol_5_fitted_wrapper,,,3.35518358531,3.35518358531,-0.00186763298573,-0.00186763298573,,0.9,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,3.36144983685,0.830453563715,-0.0695464362851,20.986347732,20.9135825748,8,12.5777537797,14.9095847293,19.6703209165,linear_quantile,DQB,926,0.830453563715,DQB-DQ0,DQB,DQ0,DQB_score_only,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQG,Promise + state-OD profiles,0.5,full,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,3c4fbae70ffed74102707db8adcdae3072a280fc4527ab6f1a346339ea435ad8,sha256_pickle_protocol_5_fitted_wrapper,6,4.37958963283,4.33729835919,4.33729835919,0.00908194347493,0.00908194347493,0.0186506908216,0.5,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,4.29790726066,0.434125269978,-0.0658747300216,7.19818895284,6.83482799802,8,12.5777537797,12.6695358021,20.4991509593,linear_quantile,DQG,926,0.434125269978,DQG-DQ0,DQG,DQ0,DQG_full,
later,2018-02,2018-02,2018-02-01,linear_quantile,DQG,Promise + state-OD profiles,0.5,score_only,2197,5781454e29754449d6a1a2acfd81b3e491cbec40363ecc124997a2d732f972f8,6b89b20b777219e3d2d9f32b98beafddf0d02ae9f4655fc1eaa309d1f3b24369,sha256_pickle_protocol_5_fitted_wrapper,,,4.33729835919,4.33729835919,0.0058860600463,0.0058860600463,,0.5,7d95c88138b22ba2667424325239c22950b3bf7d98924869363f5813ba7b7bad,926,4.31176876061,0.414686825054,-0.085313174946,6.88728561762,6.60701446325,8,12.5777537797,12.4670667451,20.9873894428,linear_quantile,DQG,926,0.414686825054,DQG-DQ0,DQG,DQ0,DQG_score_only,
