period,cohort_month,cohort,model_family,family,specification,model_id,representation,probability_variant,probability_type,bin,n,positives,prevalence,mean_probability,min_probability,max_probability,absolute_calibration_error,weight,fitted_model_sha256,order_id_sha256
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,7,4027,399,0.0990812018873,0.0837119477876,0.0755567963436,0.0928216375441,0.0153692540996,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,8,4027,508,0.126148497641,0.104898761365,0.0928298205096,0.118745286221,0.0212497362759,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,9,4027,679,0.168611869878,0.139835426229,0.118765376399,0.165352890244,0.0287764436498,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPB,DPB,full,raw,raw,10,4027,926,0.229947851999,0.233111907457,0.165361436264,0.661089342473,0.00316405545824,0.1,f1db031425071febea902b5a930da8e852ad0845c877722404229e64749f06d1,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,1,4027,65,0.0161410479265,0.0162340263422,6.33334749988e-06,0.0247420084088,9.29784157095e-05,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,2,4027,110,0.0273156195679,0.0301255480484,0.0247460135298,0.0356523364251,0.00280992848052,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,3,4027,191,0.0474298485225,0.0404406124607,0.0356541516917,0.044934973508,0.0069892360618,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,4,4027,245,0.0608393344922,0.0492301169667,0.0449378070551,0.053705541275,0.0116092175255,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,5,4027,174,0.0432083436802,0.0582229252663,0.0537077179677,0.0628250566189,0.0150145815861,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,6,4027,256,0.063570896449,0.0688226565386,0.062828778877,0.0754463723192,0.00525176008963,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
aggregate,later_pooled,later_pooled,logistic_l2,logistic_l2,DPG,DPG,full,calibrated,calibrated,7,4027,394,0.097839582816,0.0840798922809,0.0754465399876,0.0935021336238,0.0137596905351,0.1,8d91f402ed6116a5edf83036773e54808750f0c7537ac20cd74b0b674e194d0b,72cfdc8f6be208328a97da86166024c4a11b6099541993e6da4d9e100c5d76d2
