panel,estimand_role,estimand,outcome,period_summary,model_family,quantile,profile_block,representation,metric,metric_direction,estimate,evidence_label,label_namespace,source_path,source_sha256,note
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,both,full,favourable_month_count,larger_is_more_consistent,4,Supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,delta_brier,negative_is_better,-1.21099138891e-05,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,delta_log_loss,negative_is_better,-0.000140511705397,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,seller,full,favourable_month_count,larger_is_more_consistent,3,Mixed,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,delta_brier,negative_is_better,1.75032783969e-05,Not-supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,delta_log_loss,negative_is_better,-4.05045649025e-05,Not-supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_monthly_median,secondary_current_context_robustness,issued promise + purchase-time current context -> issued promise + purchase-time current context + held-fixed validated process profiles,breach_probability,later_monthly_median,xgboost,,state_od,full,favourable_month_count,larger_is_more_consistent,3,Not-supported,RQ3_current_context_order_evidence,analysis/order_breach_severity_v1/MODEL_COMPARISON_SUMMARY.csv,ec3bf91512465292759bfd5264a34d4a84f7c5b153d106fab9c8de1f5af9fcb0,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,both,full,delta_average_precision,positive_is_better,0.118230377936,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,both,full,delta_brier,negative_is_better,-0.00558325051821,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
breach_probability__later_pooled,primary_direct_operational_estimand,issued promise -> issued promise + held-fixed validated process profiles,breach_probability,later_pooled,logistic_l2,,both,full,delta_log_loss,negative_is_better,-0.0388196570165,Supported,RQ3_direct_order_evidence,analysis/direct_promise_profile_extension_v1/DIRECT_BREACH_POOLED.csv,76789278b624130a7fdbc07854850640bb37e93b55cff30e7d8646a188465cf2,"Side-by-side interpretive robustness only; do not subtract, rank, or select estimands by gain magnitude."
