task,period,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,n_events,order_id_sha256,difference_aggregation
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_mature_support_ge20,log_loss,0.199222044499,0.196176929354,0.00304511514436,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_mature_support_ge20,wace,0.0341551013309,0.0423459818948,-0.00819088056393,12231,581,f844484adc6ee85aa6bd78c62daa26cbf367fc48fff4196881b16593342860d7,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_orders,brier,0.0467461595922,0.0463179732128,0.00042818637943,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_orders,log_loss,0.200527569215,0.197558715873,0.00296885334273,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,promise_only,all_orders,wace,0.0332805580222,0.0414146306232,-0.00813407260108,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,all_orders,brier,0.0467461595922,0.0463670758166,0.000379083775634,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,all_orders,log_loss,0.200527569215,0.197916951892,0.00261061732332,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,all_orders,wace,0.0332805580222,0.0304471301678,0.00283342785434,12507,601,085d47c5390ce26eb4920710912d5fe0bd515a587d209de3cd55af821edb6235,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,common_support_ge20,brier,0.0469509726393,0.0465735537454,0.000377418893898,11808,570,f5cc7d869c28fd13b6a31f87cf8dd601247819e27d28140335bff57bc3b4f641,paired_same_terminal_orders
breach,terminal,2018-07_to_2018-08,xgboost,DPG,,selected_90d,common_support_ge20,log_loss,0.201203447836,0.198603420306,0.00260002753047,11808,570,f5cc7d869c28fd13b6a31f87cf8dd601247819e27d28140335bff57bc3b4f641,paired_same_terminal_orders
