task,period,row_type,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,order_id_sha256,difference_aggregation
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,all_orders,calibration_slope,0.85546527396,0.925497119727,-0.0700318457672,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,all_orders,wace,0.0152941829622,0.00935348856106,0.00594069440115,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,common_support_ge20,absolute_calibration_intercept_error,0.225706854606,0.137737043746,0.0879698108597,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,common_support_ge20,absolute_calibration_slope_error,0.168695592717,0.0908340618529,0.077861530864,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,common_support_ge20,calibration_intercept,-0.225706854606,-0.137737043746,-0.0879698108597,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,common_support_ge20,calibration_slope,0.831304407283,0.909165938147,-0.077861530864,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPG,,selected_90d,common_support_ge20,wace,0.0139808652145,0.00817682511484,0.00580404009965,6683,d944e88f896a259a9f4bf390aab2dacfdedd809348671d0240178db2be712368,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_mature_support_ge20,absolute_calibration_intercept_error,2.4927352753,4.43087697575,-1.93814170045,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_mature_support_ge20,absolute_calibration_slope_error,0.878935034645,1.48885147751,-0.609916442861,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_mature_support_ge20,calibration_intercept,-2.4927352753,-4.43087697575,1.93814170045,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_mature_support_ge20,calibration_slope,0.121064965355,-0.488851477506,0.609916442861,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_mature_support_ge20,wace,0.0182057074729,0.0228751064497,-0.00466939897682,5136,514d7609b5720738435f4e4cb5b5fd9cd7bb326b10a62d9899a86c2bd4b85718,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_orders,absolute_calibration_intercept_error,2.04956302102,3.51670146206,-1.46713844104,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_orders,absolute_calibration_slope_error,0.762159243738,1.22400281274,-0.461843568998,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_orders,calibration_intercept,-2.04956302102,-3.51670146206,1.46713844104,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_orders,calibration_slope,0.237840756262,-0.224002812736,0.461843568998,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,promise_only,all_orders,wace,0.0186770219858,0.0239037354081,-0.00522671342235,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,all_orders,absolute_calibration_intercept_error,2.04956302102,1.5472264393,0.502336581718,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
breach,later,monthly,2018-01,logistic_l2,DPS,,selected_90d,all_orders,absolute_calibration_slope_error,0.762159243738,0.597732980996,0.164426262743,7069,ee393306bea41ea6bceb8fcfabd7cbb43b7db39a083d42187f0a69ab3a3539a6,paired_same_month_identical_orders
