task,period,row_type,cohort,family,quantile,model_id,profile_block,history_mode,reference_kind,reference_model,population,n_orders,order_id_sha256,paired_exact,all_mature_pinball_loss,reference_pinball_loss,delta_pinball_loss,all_mature_pinball_skill_vs_reference,reference_pinball_skill_vs_reference,delta_pinball_skill_vs_reference,all_mature_empirical_coverage,reference_empirical_coverage,delta_empirical_coverage,all_mature_coverage_error,reference_coverage_error,delta_coverage_error,all_mature_absolute_coverage_error,reference_absolute_coverage_error,delta_absolute_coverage_error,all_mature_p90_absolute_error,reference_p90_absolute_error,delta_p90_absolute_error,favourable_primary,n_months,favourable_month_count,favourable_month_count_pinball_loss,favourable_month_count_absolute_coverage_error,difference_aggregation
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,all_orders,,,True,3.906953769,3.8939188201,-0.0129429578729,0.00316350300614,0,0.00316350300614,0.440219210174,0.432748909499,0.0043761204986,-0.059780789826,-0.067251090501,0.0043761204986,0.0671002042728,0.0730461198564,-0.0133079567418,17.8289626429,17.4885765448,-0.106740093998,,6,5,5,4,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,common_support_ge20,,,True,3.85787392332,3.86211216454,-0.0213865079558,0.00718365799696,0,0.00718365799696,0.433588242949,0.433575232022,0.00688590339582,-0.0664117570508,-0.0664247679776,0.00688590339582,0.0748132210683,0.0767258336456,-0.0152093197205,17.382722947,16.8783401904,-0.029643917621,,6,4,4,4,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,3.61334852753,3.58354003566,0.0162111350073,-0.0035142711264,0,-0.0035142711264,0.427513504712,0.451080853453,-0.0172534637904,-0.0724864952884,-0.0489191465469,-0.0172534637904,0.0741393695147,0.0640061926434,0.0113405299039,16.5215993849,16.3769706878,0.130095528591,,6,1,1,1,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.87481018303,3.88235463127,0.00865294317483,-0.00204397344922,0,-0.00204397344922,0.426141184456,0.438454522315,-0.0114745582828,-0.0738588155439,-0.0615454776854,-0.0114745582828,0.0738588155439,0.0735793059371,0.00527108433735,17.4326287435,17.6367111104,-0.012322066147,,6,3,3,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,all_orders,,,True,3.87481018303,3.87229920373,0.00738181220538,-0.00198510110424,0,-0.00198510110424,0.426141184456,0.430468668088,-0.00112951807229,-0.0738588155439,-0.0695313319121,-0.00112951807229,0.0738588155439,0.0695313319121,-0.00107991360691,17.4326287435,17.6000781924,0.0741566644325,,6,2,2,3,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,common_support_ge20,,,True,3.56677269275,3.56381342723,0.00295926551541,-0.000821352388204,0,-0.000821352388204,0.432326011908,0.438720168109,0,-0.0676739880923,-0.0612798318907,0,0.0676739880923,0.0766410850877,0,15.6588624595,15.8134547081,-0.101942748381,,6,2,2,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,2.89293865299,2.88066796221,0.00863015739568,-0.00337659971805,0,-0.00337659971805,0.864935358327,0.87823336722,-0.00513950073421,-0.0350646416726,-0.0217666327798,-0.00513950073421,0.059284212951,0.043518289363,0.00513950073421,19.3874342751,19.9210198137,-0.42463527745,,6,2,2,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.06885855385,3.0754830903,-0.00108760817414,0.000194323818455,0,0.000194323818455,0.856758017987,0.862356893801,-0.00431965442765,-0.0432419820126,-0.0376431061986,-0.00431965442765,0.0692802603961,0.0649606059684,0.0054483225992,19.5517893121,19.8974437186,-0.01356826628,,6,3,3,0,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,all_orders,,,True,3.06885855385,3.09077623559,-0.00909867068192,0.00348913160909,0,0.00348913160909,0.856758017987,0.856669428335,0.000539956803456,-0.0432419820126,-0.0433305716653,0.000539956803456,0.0692802603961,0.0698202171995,0,19.5517893121,19.4618842996,0.089905012555,,6,4,4,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,linear_quantile,0.9,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,common_support_ge20,,,True,3.0166114413,3.0288860868,-0.00314413237729,0.00144669171423,0,0.00144669171423,0.866171136977,0.865894905533,0,-0.0338288630229,-0.0341050944669,0,0.0556402318012,0.0497300944669,0.000600961538462,19.2975701621,19.403683587,-0.019975528045,,6,4,4,1,median_of_paired_monthly_differences
