variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",,91171,0.0319614836643,0.0581184417831,-0.0819485690682,0.145871536397,0.582362559931,1.03247773728,0.92131934179,1.15704754001,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",,91171,0.00894471924709,0.0582185468671,-0.105161535845,0.123050974339,0.877893301935,1.00898484279,0.90017909965,1.1309420685,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",,91171,-0.155361838085,0.0605835327482,-0.274103380327,-0.036620295842,0.0103347343946,0.856105349913,0.760253475945,0.964042116663,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",,91171,0.0437724787575,0.060278977065,-0.0743721453148,0.16191710283,0.467737672452,1.04474462625,0.92832615732,1.17576276987,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",,91171,-0.0600390626026,0.062174491297,-0.181898826302,0.0618207010967,0.334217212684,0.941727746529,0.833685683213,1.06377159455,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",,91171,-0.124791583625,0.063735650538,-0.24971116321,0.00012799596095,0.0502352049258,0.882680848558,0.779025761879,1.00012800415,False,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",,91171,0.163392582974,0.180821160066,-0.191010378399,0.517795544347,0.366199964782,1.17749886497,0.826124014262,1.67832377835,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"cr(actual_delivery_days, df=4, constraints=""center"")[0]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",,91171,0.398890218076,0.0393757214855,0.321715222099,0.476065214053,4.05156682911e-24,1.4901700159,1.37949187122,1.60972798942,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"cr(actual_delivery_days, df=4, constraints=""center"")[1]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",,91171,0.925578864834,0.0457552697153,0.835900184089,1.01525754558,5.45031642909e-91,2.52332850381,2.30688973933,2.76007415074,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
post_delivery_reviews,post_delivery_reviews,coefficient,A,low_review_2,"cr(actual_delivery_days, df=4, constraints=""center"")[2]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",,91171,1.71913931645,0.175306950215,1.37554400779,2.06273462511,1.05616192689e-22,5.57972402035,3.95722890082,7.86745495991,True,,,,,Selected reviews at or after recorded customer-delivery timestamp.
