variant,model_id,row_term,column_term,covariance_hc1
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.00141086626951
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00140626518169
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00140814304079
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.00140906090764
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.00141683933481
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00141715841933
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00142302416986
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.0014245010272
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.00142885899338
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",0.00139518492107
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",6.08112084302e-05
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",-1.77213180722e-06
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",-0.000984325770879
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",0.000538701065758
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",Intercept,-0.00143771176799
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.00142676792232
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.0014172856619
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",0.00613623664904
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",0.00140368794881
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",0.0014289896037
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",0.00142672725037
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",0.00142482461856
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",0.00142417924838
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",0.00142235918185
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",0.00142184616483
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.00140902483671
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00140093212589
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00140426801342
