variant,model_id,outcome,estimand_id,estimand_type,continuous_variable,continuous_value,error_group,reference_error_group,reference_estimate,standardization_population,n_standardization,month_levels,estimate,standard_error,ci_lower,ci_upper,ci_method,support_rule,support_lower,support_upper,support_n
low_review_3,B,low_review_3,error_group_probability::slightly early: -6 to -1 days,supported_error_group_probability,actual_delivery_days,15,slightly early: -6 to -1 days,on promised date,0.234854286658,low_review_3,95824,21,0.216122657849,0.00392481310138,0.208430165524,0.223815150174,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273
low_review_3,B,low_review_3,error_group_probability::on promised date,supported_error_group_probability,actual_delivery_days,20,on promised date,on promised date,0.269455412774,low_review_3,95824,21,0.269455412774,0.0127004142264,0.244563058301,0.294347767246,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178
low_review_3,B,low_review_3,error_group_probability::1 day late,supported_error_group_probability,actual_delivery_days,22,1 day late,on promised date,0.283384967697,low_review_3,95824,21,0.345287868035,0.0166918386279,0.312572465489,0.378003270582,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816
low_review_3,B,low_review_3,error_group_probability::2-3 days late,supported_error_group_probability,actual_delivery_days,23,2-3 days late,on promised date,0.290317864505,low_review_3,95824,21,0.558575507371,0.0158398641119,0.527529944191,0.58962107055,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864
low_review_3,B,low_review_3,error_group_probability::4-7 days late,supported_error_group_probability,actual_delivery_days,25,4-7 days late,on promised date,0.304052850531,low_review_3,95824,21,0.762482249691,0.0106730983857,0.741563361252,0.783401138131,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115
low_review_3,B,low_review_3,error_group_probability::>=8 days late,supported_error_group_probability,actual_delivery_days,30,>=8 days late,on promised date,0.33698848311,low_review_3,95824,21,0.87254280877,0.00830677338206,0.856261832113,0.888823785426,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800
post_delivery_reviews,B,low_review_2,error_group_probability::very early: <= -14 days,supported_error_group_probability,actual_delivery_days,9,very early: <= -14 days,on promised date,0.0854568740281,post_delivery_reviews,91171,21,0.0862147541738,0.00142190430082,0.0834278729547,0.0890016353929,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36159
post_delivery_reviews,B,low_review_2,error_group_probability::early: -13 to -7 days,supported_error_group_probability,actual_delivery_days,11,early: -13 to -7 days,on promised date,0.0906237457402,post_delivery_reviews,91171,21,0.0877024919186,0.00173433735162,0.0843032531724,0.0911017306648,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27660
post_delivery_reviews,B,low_review_2,error_group_probability::slightly early: -6 to -1 days,supported_error_group_probability,actual_delivery_days,15,slightly early: -6 to -1 days,on promised date,0.102191891913,post_delivery_reviews,91171,21,0.104314048692,0.00324158097474,0.0979606667287,0.110667430656,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11240
post_delivery_reviews,B,low_review_2,error_group_probability::on promised date,supported_error_group_probability,actual_delivery_days,20,on promised date,on promised date,0.119593972714,post_delivery_reviews,91171,21,0.119593972714,0.00931870275621,0.101329650929,0.137858294499,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1173
post_delivery_reviews,B,low_review_2,error_group_probability::1 day late,supported_error_group_probability,actual_delivery_days,22,1 day late,on promised date,0.127761898791,post_delivery_reviews,91171,21,0.172304543649,0.0133138294286,0.146209917472,0.198399169825,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1792
post_delivery_reviews,B,low_review_2,error_group_probability::2-3 days late,supported_error_group_probability,actual_delivery_days,22,2-3 days late,on promised date,0.127761898791,post_delivery_reviews,91171,21,0.170375792451,0.0149168910483,0.141139223235,0.199612361667,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,8,33,1594
post_delivery_reviews,B,low_review_2,error_group_probability::4-7 days late,supported_error_group_probability,actual_delivery_days,23,4-7 days late,on promised date,0.132165538394,post_delivery_reviews,91171,21,0.169653141126,0.0185834422143,0.133230263677,0.206076018575,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,12,33,1239
post_delivery_reviews,B,low_review_2,error_group_probability::>=8 days late,supported_error_group_probability,actual_delivery_days,25,>=8 days late,on promised date,0.141702996842,post_delivery_reviews,91171,21,0.202649681805,0.0423465917711,0.119651887065,0.285647476544,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,21,33,600
fixed_duration_bins,B,low_review_2,error_group_probability::very early: <= -14 days,supported_error_group_probability,actual_delivery_days,9,very early: <= -14 days,on promised date,0.0922796418796,fixed_duration_bins,95824,21,0.0902948413314,0.00174662141936,0.0868715262548,0.093718156408,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36216
fixed_duration_bins,B,low_review_2,error_group_probability::early: -13 to -7 days,supported_error_group_probability,actual_delivery_days,11,early: -13 to -7 days,on promised date,0.0922796418796,fixed_duration_bins,95824,21,0.0865721397243,0.00192720141686,0.0827948943563,0.0903493850923,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27713
fixed_duration_bins,B,low_review_2,error_group_probability::slightly early: -6 to -1 days,supported_error_group_probability,actual_delivery_days,15,slightly early: -6 to -1 days,on promised date,0.11388134182,fixed_duration_bins,95824,21,0.113223861025,0.00362743973728,0.106114209784,0.120333512267,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273
fixed_duration_bins,B,low_review_2,error_group_probability::on promised date,supported_error_group_probability,actual_delivery_days,20,on promised date,on promised date,0.11388134182,fixed_duration_bins,95824,21,0.11388134182,0.00908825004138,0.0960686990567,0.131693984584,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178
fixed_duration_bins,B,low_review_2,error_group_probability::1 day late,supported_error_group_probability,actual_delivery_days,22,1 day late,on promised date,0.155553168347,fixed_duration_bins,95824,21,0.221544535689,0.015378291299,0.191403638599,0.251685432779,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816
fixed_duration_bins,B,low_review_2,error_group_probability::2-3 days late,supported_error_group_probability,actual_delivery_days,23,2-3 days late,on promised date,0.155553168347,fixed_duration_bins,95824,21,0.450212439601,0.0160136510648,0.418826260253,0.481598618949,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864
fixed_duration_bins,B,low_review_2,error_group_probability::4-7 days late,supported_error_group_probability,actual_delivery_days,25,4-7 days late,on promised date,0.155553168347,fixed_duration_bins,95824,21,0.68904670065,0.0112596746317,0.666978143894,0.711115257405,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115
fixed_duration_bins,B,low_review_2,error_group_probability::>=8 days late,supported_error_group_probability,actual_delivery_days,30,>=8 days late,on promised date,0.155553168347,fixed_duration_bins,95824,21,0.786018204769,0.00803393338465,0.770271984681,0.801764424857,HC1 delta-Wald,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800
