variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.very early: <= -14 days]",,95824,-0.268154296109,0.0678427729406,-0.401123687684,-0.135184904534,7.73115986382e-05,0.764789767913,0.669567238695,0.87355437259,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.early: -13 to -7 days]",,95824,-0.257667368813,0.067329263706,-0.389630300782,-0.125704436844,0.000129727998814,0.772852264122,0.67730722817,0.881875458162,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.slightly early: -6 to -1 days]",,95824,-0.107434102742,0.0681469356588,-0.24099964229,0.026131436806,0.114909068843,0.898135705181,0.785841907492,1.02647585632,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.1 day late]",,95824,0.288343167549,0.0975653969022,0.0971185034837,0.479567831615,0.00312280575676,1.33421508489,1.10199095565,1.61537613682,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.2-3 days late]",,95824,1.1310916389,0.0905485083485,0.953619823681,1.30856345411,8.30154430968e-36,3.09903768436,2.59508643327,3.70085344593,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.4-7 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.4-7 days late]",,95824,1.99762495951,0.0869792590661,1.82714874433,2.16810117468,1.00392091974e-116,7.37152761515,6.21613756949,8.74166936839,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(promise_error_group_label, Treatment(reference=""on promised date""))[T.>=8 days late]","C(promise_error_group_label, Treatment(reference=""on promised date""))[T.>=8 days late]",,95824,2.60414976267,0.102020091556,2.40419405752,2.80410546782,1.01825968536e-143,13.5197254394,11.0695053016,16.5122985153,True,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",,95824,-0.0224824179037,0.100060635366,-0.21859765949,0.173632823683,0.822222048253,0.977768428261,0.803644992052,1.18961868581,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",,95824,-0.0123876357984,0.0702701907519,-0.150114678859,0.125339407262,0.86006942841,0.98768877512,0.860609277076,1.13353311716,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",,95824,-0.0713034187219,0.0603005288287,-0.189490283475,0.046883446031,0.237020233045,0.931179312023,0.827380756124,1.04799985342,False,,,,,Alternative observed low-review threshold: selected score <=3.
